平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,仿真洋洋睡眠娃娃，可拆卸衣物，6种动物服装可选，儿童生日节日礼物的选择,1776657639059,0,1.0,6.0,8,0,smww-mf,102-Temu全托管
TEMU,Funny Wind-Up Bouncing Eggs Toy Cute Beast Toys Clockwork Control Cute Shape Suitable For Kids Soothing Creative Christmas Gift,1776657639060,0,1.0,5.0,0,0,9988-173,102-Temu全托管
TEMU,Funny Wind-Up Bouncing Eggs Toy Cute Beast Toys Clockwork Control Cute Shape Suitable For Kids Soothing Creative Christmas Gift,1776657639060,0,0.0,3.0,3,0,9988-174,102-Temu全托管
TEMU,STEM Educational Simulation Toy Tool Set Pretend Household Tools Kit for Kids Portable Pretend Play Construction Tool Kits for Boys,1776657643414,0,0.0,3.0,1,0,36778-159,102-Temu全托管
TEMU,Mini Swimming Doll Kids Bathroom Bath Toy Baby Bathtub Toy On Chain Automatic Swimming Little Doll Christmas Gift,1776657643414,0,0.0,0.0,8,0,999-gr,102-Temu全托管
TEMU,Mini Swimming Doll Kids Bathroom Bath Toy Baby Bathtub Toy On Chain Automatic Swimming Little Doll Christmas Gift,1776657643414,0,0.0,0.0,8,0,999-bl,102-Temu全托管
TEMU,Mini Swimming Doll Kids Bathroom Bath Toy Baby Bathtub Toy On Chain Automatic Swimming Little Doll Christmas Gift,1776657643414,0,0.0,0.0,8,0,999-pk,102-Temu全托管
TEMU,Ice Cream Folding Joy Playing Home Toy Hand Eye Coordination Parent Child Interactive Desktop Game Puzzle Toy,1776657643414,14,241.0,735.0,0,175,zcbql-opp,102-Temu全托管
TEMU,趣味儿童接球游戏，接球发射器篮球运动玩具户外室内互动派对沙滩玩具，适合6个季节的礼品,1776657643414,0,1.0,1.0,0,0,djts-lf4,102-Temu全托管
TEMU,"Creative stress relief controller fingertip game toy, cube game controller stress relief controller toy",1776657643414,6,35.0,86.0,27,0,ZCSBTLMF-che,102-Temu全托管
TEMU,"Creative stress relief controller fingertip game toy, cube game controller stress relief controller toy",1776657643414,3,45.0,103.0,56,37,ZCSBTLMF-lan,102-Temu全托管
TEMU,"Creative stress relief controller fingertip game toy, cube game controller stress relief controller toy",1776657643414,17,97.0,218.0,45,0,ZCSBTLMF-hei,102-Temu全托管
TEMU,"Creative stress relief controller fingertip game toy, cube game controller stress relief controller toy",1776657643414,7,42.0,122.0,27,0,ZCSBTLMF-lv,102-Temu全托管
TEMU,早教手拍鼓，宝宝益智玩具拍拍鼓，室内室外男女孩玩耍打击乐器，圣诞礼物万圣节礼物春节派对互动有趣玩具,1776657643414,0,0.0,0.0,0,5,KNS666-2,102-Temu全托管
TEMU,早教手拍鼓，宝宝益智玩具拍拍鼓，室内室外男女孩玩耍打击乐器，圣诞礼物万圣节礼物春节派对互动有趣玩具,1776657643414,0,0.0,0.0,0,5,KNS666-3,102-Temu全托管
