2026-04-20 10:05:25,549 | INFO | YmxNews | 线程 YmxThread_0 美国爬取完成，共获取2100条数据
2026-04-20 10:05:25,550 | INFO | YmxNews | ---------------------------------开始去重数据-----------------------------------
2026-04-20 10:05:25,959 | INFO | YmxNews | 处理完成: 本周新增 651 条记录
2026-04-20 10:05:25,959 | INFO | YmxNews | 原始数据: 2897 条
2026-04-20 10:05:25,959 | INFO | YmxNews | 去重后: 2838 条
2026-04-20 10:05:25,960 | INFO | YmxNews | ---------------------------------开始构建上传的数据-----------------------------------
2026-04-20 10:05:42,640 | INFO | YmxNews | ---------------------------------开始上传数据-----------------------------------
2026-04-20 10:05:42,641 | INFO | YmxNews | 准备上传 651 条记录...
2026-04-20 10:06:10,476 | INFO | YmxNews | 
上传统计:
2026-04-20 10:06:10,476 | INFO | YmxNews | 总记录数: 651
2026-04-20 10:06:10,476 | INFO | YmxNews | 成功数量: 651
2026-04-20 10:06:10,476 | INFO | YmxNews | 失败数量: 0
2026-04-20 10:06:10,476 | INFO | YmxNews | 成功批次: 14
2026-04-20 10:06:10,476 | INFO | YmxNews | 失败批次: 0
2026-04-20 10:06:10,477 | INFO | YmxNews | 数据上传成功
2026-04-20 10:06:13,482 | INFO | YmxNews | ============================================================
2026-04-20 10:06:13,483 | INFO | YmxNews | 📊 统计信息:
2026-04-20 10:06:13,483 | INFO | YmxNews | ⏱️  总耗时: 116.07 秒
2026-04-20 10:06:13,483 | INFO | YmxNews | ⏱️  开始时间: 2026-04-20 10:04:17
2026-04-20 10:06:13,483 | INFO | YmxNews | ⏱️  结束时间: 2026-04-20 10:06:13
