2026-03-03 12:24:47,771 | INFO | financial_data | 2102-Temu全托管 - 已连接浏览器
2026-03-03 12:24:48,244 | INFO | financial_data | --------------------2102-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:24:53,202 | INFO | financial_data | 2102-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 12:25:00,589 | INFO | financial_data | 2102-Temu全托管 - 进入财务页面
2026-03-03 12:25:10,904 | INFO | financial_data | 有数据，总共 170 条
2026-03-03 12:25:12,958 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-03-03 12:25:13,800 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-03-03 12:25:24,251 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\2102-Temu全托管_02_卖家中心.xlsx
2026-03-03 12:25:25,254 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-03-03 12:25:27,631 | INFO | financial_data | 确认授权并前往
2026-03-03 12:25:38,561 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2102-Temu全托管_02_全球.xlsx
2026-03-03 12:25:39,592 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-03-03 12:25:42,120 | INFO | financial_data | 确认授权并前往
2026-03-03 12:25:53,987 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2102-Temu全托管_02_欧区.xlsx
2026-03-03 12:25:55,029 | INFO | financial_data | 2102-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-03-03 12:25:57,216 | INFO | financial_data | 确认授权并前往
2026-03-03 12:26:08,074 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2102-Temu全托管_02_美国.xlsx
2026-03-03 12:26:09,097 | INFO | financial_data | ✅ 2102-Temu全托管 - 所有财务数据下载完成
2026-03-03 12:26:09,097 | INFO | financial_data | 全部报表下载完成
2026-03-03 12:26:09,097 | INFO | financial_data | 2102-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:26:10,422 | INFO | financial_data | --------------正在爬取店铺2101-Temu全托管KA----的数据
2026-03-03 12:26:10,422 | INFO | financial_data | 2101-Temu全托管KA - 第 1 次登录尝试
