2026-01-21 09:36:04,996 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:04,997 | INFO | YmxNews | 线程 YmxThread_0 美国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,997 | INFO | YmxNews | 线程 YmxThread_0 美国第2页获取到100条数据，累计200条
2026-01-21 09:36:04,997 | INFO | YmxNews | 线程 YmxThread_0 美国第2页获取到100条数据，累计200条
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 西班牙第2页获取到100条数据，累计200条
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 西班牙第2页获取到100条数据，累计200条
2026-01-21 09:36:05,076 | INFO | YmxNews | 线程 YmxThread_4 西班牙第2页获取到100条数据，累计200条
2026-01-21 09:36:05,697 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第3页的数据
2026-01-21 09:36:05,697 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第3页的数据
2026-01-21 09:36:05,697 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第3页的数据
2026-01-21 09:36:05,775 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第3页的数据
2026-01-21 09:36:05,775 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第3页的数据
2026-01-21 09:36:05,775 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第3页的数据
2026-01-21 09:36:05,930 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第3页的数据
2026-01-21 09:36:05,930 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第3页的数据
2026-01-21 09:36:05,930 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第3页的数据
2026-01-21 09:36:06,006 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第3页的数据
2026-01-21 09:36:06,006 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第3页的数据
2026-01-21 09:36:06,006 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第3页的数据
2026-01-21 09:36:06,084 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第3页的数据
2026-01-21 09:36:06,084 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第3页的数据
2026-01-21 09:36:06,084 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第3页的数据
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国第3页无数据，停止爬取
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国第3页无数据，停止爬取
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国第3页无数据，停止爬取
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国爬取完成，共获取193条数据
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国爬取完成，共获取193条数据
2026-01-21 09:36:06,345 | INFO | YmxNews | 线程 YmxThread_3 法国爬取完成，共获取193条数据
2026-01-21 09:36:06,524 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:06,524 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:06,524 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-01-21 09:36:06,525 | INFO | YmxNews | 线程 YmxThread_1 英国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,525 | INFO | YmxNews | 线程 YmxThread_1 英国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,525 | INFO | YmxNews | 线程 YmxThread_1 英国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 美国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 美国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,871 | INFO | YmxNews | 线程 YmxThread_0 美国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 德国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 德国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,891 | INFO | YmxNews | 线程 YmxThread_2 德国第3页获取到100条数据，累计300条
2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:06,983 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
