2026-01-16 12:02:12,254 | INFO | login | 1107-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'hmfimlmiknlbeifbaabjgkfnhkaiijaf', 'browserID': 122452738, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\hubstudio', 'debuggingPort': '50140', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1107号店', 'duplicate': 3120, 'ip': '36.111.32.150', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\webdriver.exe', 'containerId': 122452738, 'containerCode': '1232527381', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:02:12,255 | INFO | login | 1107-Temu全托管 - 浏览器启动成功, 调试端口: 50140
2026-01-16 12:02:13,671 | INFO | login | 1107-Temu全托管 - 已连接浏览器
2026-01-16 12:02:13,998 | INFO | login | --------------------1107-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:02:18,133 | INFO | login | 1107-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:02:26,599 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-16 12:02:26,636 | INFO | login | 授权流程完成
2026-01-16 12:02:32,663 | INFO | login | 1107-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1107-Temu全托管_cookies.json
2026-01-16 12:02:32,663 | INFO | login | 1107-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:02:32,663 | INFO | login | 1107-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:02:42,012 | INFO | login | 1106-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:02:44,515 | INFO | login | 1106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ckmbonbfihibhagclccfhnmbcbfnlbnh', 'browserID': 109978213, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '50781', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1106店', 'duplicate': 2212, 'ip': '36.111.32.150', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 109978213, 'containerCode': '1107782133', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:02:44,516 | INFO | login | 1106-Temu全托管 - 浏览器启动成功, 调试端口: 50781
2026-01-16 12:02:45,895 | INFO | login | 1106-Temu全托管 - 已连接浏览器
2026-01-16 12:02:46,238 | INFO | login | --------------------1106-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:02:51,151 | INFO | login | 1106-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:03:00,587 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-16 12:03:00,672 | INFO | login | 授权流程完成
2026-01-16 12:03:06,716 | INFO | login | 1106-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1106-Temu全托管_cookies.json
2026-01-16 12:03:06,716 | INFO | login | 1106-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:03:06,716 | INFO | login | 1106-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:03:16,211 | INFO | login | 1105-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:03:18,799 | INFO | login | 1105-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'hedbcddcbnkifhfapobljhpmnkknmeci', 'browserID': 109977447, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '51212', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1105店', 'duplicate': 2163, 'ip': '218.78.129.86', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 109977447, 'containerCode': '1107774478', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:03:18,799 | INFO | login | 1105-Temu全托管 - 浏览器启动成功, 调试端口: 51212
2026-01-16 12:03:20,184 | INFO | login | 1105-Temu全托管 - 已连接浏览器
2026-01-16 12:03:20,523 | INFO | login | --------------------1105-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:03:25,089 | INFO | login | 1105-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:03:30,429 | INFO | login | 1105-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\1105-Temu全托管_cookies.json
2026-01-16 12:03:30,429 | INFO | login | 1105-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:03:30,429 | INFO | login | 1105-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:03:36,157 | INFO | login | 2103-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:03:38,829 | INFO | login | 2103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cdgoddilnfionjljedagnobpdkhcnpii', 'browserID': 99890331, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '51533', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2103店（113店改）+2108店+半托6号店+半托8号店', 'duplicate': 2293, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99890331, 'containerCode': '1006903311', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:03:38,830 | INFO | login | 2103-Temu全托管 - 浏览器启动成功, 调试端口: 51533
2026-01-16 12:03:40,193 | INFO | login | 2103-Temu全托管 - 已连接浏览器
2026-01-16 12:03:40,655 | INFO | login | --------------------2103-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:03:45,238 | INFO | login | 2103-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:03:50,942 | INFO | login | 2103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2103-Temu全托管_cookies.json
2026-01-16 12:03:50,942 | INFO | login | 2103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:03:50,942 | INFO | login | 2103-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:03:56,400 | INFO | login | 112-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:03:59,763 | INFO | login | 112-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'deogjmiglmamcbonclpnbppbclfgkgpg', 'browserID': 99848624, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '51810', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托112店', 'duplicate': 3018, 'ip': '36.111.32.150', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99848624, 'containerCode': '1006486242', 'statusCode': '0', 'err': '成功(Success)'}}
