2026-03-03 13:57:56,670 | INFO | financial_process_up | 正在上传店铺: 104-Temu全托管_总表.xlsx, 共 33 条记录...
2026-03-03 13:57:57,740 | INFO | financial_process_up | 104-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:57:57,765 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:57:57,765 | INFO | financial_process_up | 正在上传店铺: 105-Temu全托管_总表.xlsx, 共 94 条记录...
2026-03-03 13:58:00,510 | INFO | financial_process_up | 105-Temu全托管_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:58:00,522 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:00,522 | INFO | financial_process_up | 正在上传店铺: 106-Temu全托管_总表.xlsx, 共 33 条记录...
2026-03-03 13:58:01,761 | INFO | financial_process_up | 106-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:01,783 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:01,783 | INFO | financial_process_up | 正在上传店铺: 108-Temu全托管_总表.xlsx, 共 29 条记录...
2026-03-03 13:58:03,021 | INFO | financial_process_up | 108-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:03,052 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:03,052 | INFO | financial_process_up | 正在上传店铺: 109-Temu全托管KA_总表.xlsx, 共 58 条记录...
2026-03-03 13:58:05,833 | INFO | financial_process_up | 109-Temu全托管KA_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:58:05,850 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:05,851 | INFO | financial_process_up | 正在上传店铺: 110-Temu全托管KA_总表.xlsx, 共 73 条记录...
2026-03-03 13:58:09,534 | INFO | financial_process_up | 110-Temu全托管KA_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:58:09,570 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:09,570 | INFO | financial_process_up | 正在上传店铺: 1101-Temu全托管_总表.xlsx, 共 77 条记录...
2026-03-03 13:58:12,438 | INFO | financial_process_up | 1101-Temu全托管_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:58:12,453 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:12,455 | INFO | financial_process_up | 正在上传店铺: 1102-Temu全托管_总表.xlsx, 共 48 条记录...
2026-03-03 13:58:13,662 | INFO | financial_process_up | 1102-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:13,676 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:13,676 | INFO | financial_process_up | 正在上传店铺: 1103-Temu全托管_总表.xlsx, 共 40 条记录...
2026-03-03 13:58:14,836 | INFO | financial_process_up | 1103-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:14,856 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:14,856 | INFO | financial_process_up | 正在上传店铺: 1104-Temu全托管_总表.xlsx, 共 56 条记录...
2026-03-03 13:58:17,276 | INFO | financial_process_up | 1104-Temu全托管_总表.xlsx 上传完成: 成功 2 批, 失败 0 批
2026-03-03 13:58:17,291 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:17,291 | INFO | financial_process_up | 正在上传店铺: 1105-Temu全托管_总表.xlsx, 共 42 条记录...
2026-03-03 13:58:18,680 | INFO | financial_process_up | 1105-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
2026-03-03 13:58:18,695 | INFO | financial_process_up | ⚠️ 以下字段未上传（钉钉表不存在）: {'核价'}
2026-03-03 13:58:18,695 | INFO | financial_process_up | 正在上传店铺: 1106-Temu全托管_总表.xlsx, 共 47 条记录...
2026-03-03 13:58:20,014 | INFO | financial_process_up | 1106-Temu全托管_总表.xlsx 上传完成: 成功 1 批, 失败 0 批
