2026-04-29 10:37:04,312 | INFO | auto_listing | 采集箱新页面已关闭 - 601100307595922
2026-04-29 10:37:04,314 | INFO | auto_listing | 采集箱新页面已关闭 - 601100358032007
2026-04-29 10:37:04,331 | INFO | auto_listing | 外层采集页面已关闭 - 601100307595922
2026-04-29 10:37:04,335 | INFO | auto_listing | 外层采集页面已关闭 - 601100358032007
2026-04-29 10:37:04,374 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:37:04,376 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:37:04,421 | INFO | auto_listing | 进度: 19/50 - 正在处理商品: 601100365054390
2026-04-29 10:37:04,421 | INFO | auto_listing | 商品 601100365054390 第 1/2 次采集尝试
2026-04-29 10:37:04,477 | INFO | auto_listing | 进度: 20/50 - 正在处理商品: 601100367932913
2026-04-29 10:37:04,477 | INFO | auto_listing | 商品 601100367932913 第 1/2 次采集尝试
2026-04-29 10:37:07,364 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100365054390
2026-04-29 10:37:07,402 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100365054390
2026-04-29 10:37:09,675 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100365054390
2026-04-29 10:37:11,279 | INFO | auto_listing | ✅ 上架成功: 601100365054390
2026-04-29 10:37:11,297 | INFO | auto_listing | 采集箱新页面已关闭 - 601100365054390
2026-04-29 10:37:11,316 | INFO | auto_listing | 外层采集页面已关闭 - 601100365054390
2026-04-29 10:37:11,357 | INFO | auto_listing | 进度: 21/50 - 正在处理商品: 601100387050123
2026-04-29 10:37:11,358 | INFO | auto_listing | 商品 601100387050123 第 1/2 次采集尝试
2026-04-29 10:37:14,080 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100387050123
2026-04-29 10:37:14,132 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100387050123
2026-04-29 10:37:15,819 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100387050123
2026-04-29 10:37:17,422 | INFO | auto_listing | ✅ 上架成功: 601100387050123
2026-04-29 10:37:17,458 | INFO | auto_listing | 采集箱新页面已关闭 - 601100387050123
2026-04-29 10:37:17,485 | INFO | auto_listing | 外层采集页面已关闭 - 601100387050123
2026-04-29 10:37:17,525 | INFO | auto_listing | 进度: 22/50 - 正在处理商品: 601100409974169
2026-04-29 10:37:17,526 | INFO | auto_listing | 商品 601100409974169 第 1/2 次采集尝试
2026-04-29 10:37:20,266 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100409974169
2026-04-29 10:37:20,303 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100409974169
2026-04-29 10:37:22,072 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100409974169
2026-04-29 10:37:23,662 | INFO | auto_listing | ✅ 上架成功: 601100409974169
2026-04-29 10:37:23,683 | INFO | auto_listing | 采集箱新页面已关闭 - 601100409974169
2026-04-29 10:37:23,711 | INFO | auto_listing | 外层采集页面已关闭 - 601100409974169
2026-04-29 10:37:23,744 | INFO | auto_listing | 进度: 23/50 - 正在处理商品: 601100411232359
2026-04-29 10:37:23,745 | INFO | auto_listing | 商品 601100411232359 第 1/2 次采集尝试
2026-04-29 10:37:26,483 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100411232359
2026-04-29 10:37:26,520 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100411232359
2026-04-29 10:37:28,281 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100411232359
2026-04-29 10:37:29,897 | INFO | auto_listing | ✅ 上架成功: 601100411232359
2026-04-29 10:37:29,933 | INFO | auto_listing | 采集箱新页面已关闭 - 601100411232359
2026-04-29 10:37:29,960 | INFO | auto_listing | 外层采集页面已关闭 - 601100411232359
2026-04-29 10:37:29,997 | INFO | auto_listing | 进度: 24/50 - 正在处理商品: 601100519884695
2026-04-29 10:37:29,998 | INFO | auto_listing | 商品 601100519884695 第 1/2 次采集尝试
2026-04-29 10:37:32,716 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100519884695
2026-04-29 10:37:32,762 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100519884695
2026-04-29 10:37:34,459 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100519884695
2026-04-29 10:37:35,722 | WARNING | auto_listing | 商品 601100367932913 采集失败 (尝试 1/2): Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("#app > div > main > div.right > div > div:nth-child(3) > div.arco-card-body > div > div:nth-child(2) > div.arco-space.arco-space-horizontal.arco-space-align-center.btn-wrap > div:nth-child(6) > button")

2026-04-29 10:37:36,070 | INFO | auto_listing | ✅ 上架成功: 601100519884695
2026-04-29 10:37:36,096 | INFO | auto_listing | 采集箱新页面已关闭 - 601100519884695
2026-04-29 10:37:36,122 | INFO | auto_listing | 外层采集页面已关闭 - 601100519884695
2026-04-29 10:37:36,154 | INFO | auto_listing | 进度: 25/50 - 正在处理商品: 601100527781476
2026-04-29 10:37:36,155 | INFO | auto_listing | 商品 601100527781476 第 1/2 次采集尝试
2026-04-29 10:37:37,875 | INFO | auto_listing | 商品 601100367932913 第 2/2 次采集尝试
2026-04-29 10:37:38,916 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100527781476
2026-04-29 10:37:38,952 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100527781476
2026-04-29 10:37:40,642 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100527781476
2026-04-29 10:37:42,251 | INFO | auto_listing | ✅ 上架成功: 601100527781476
2026-04-29 10:37:42,279 | INFO | auto_listing | 采集箱新页面已关闭 - 601100527781476
2026-04-29 10:37:42,323 | INFO | auto_listing | 外层采集页面已关闭 - 601100527781476
2026-04-29 10:37:42,385 | INFO | auto_listing | 进度: 26/50 - 正在处理商品: 601100531299904
2026-04-29 10:37:42,386 | INFO | auto_listing | 商品 601100531299904 第 1/2 次采集尝试
2026-04-29 10:37:45,192 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100531299904
2026-04-29 10:37:45,227 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100531299904
