2026-06-18 11:04:44,868 | INFO | financial_data | --------------------2101-Temu全托管KA ------------------------ 开始登录...
2026-06-18 11:04:51,474 | INFO | financial_data | 2101-Temu全托管KA - 等待 agentseller Cookie 生效
2026-06-18 11:04:56,896 | INFO | financial_data | 2101-Temu全托管KA - 进入财务页面
2026-06-18 11:05:05,021 | INFO | financial_data | 有数据，总共 2137 条
2026-06-18 11:05:07,076 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:05:07,913 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:05:07,913 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:05:07,913 | INFO | financial_data | 2101-Temu全托管KA - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:05:07,914 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\temu\2101-Temu全托管KA_01_卖家中心.xlsx
2026-06-18 11:05:08,920 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2101-Temu全托管KA_01_全球.xlsx
2026-06-18 11:05:08,920 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2101-Temu全托管KA_01_欧区.xlsx
2026-06-18 11:05:08,921 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2101-Temu全托管KA_01_美国.xlsx
2026-06-18 11:05:08,921 | INFO | financial_data | ✅ 2101-Temu全托管KA - 所有财务数据下载完成
2026-06-18 11:05:08,921 | INFO | financial_data | 全部报表下载完成
2026-06-18 11:05:08,921 | INFO | financial_data | 2101-Temu全托管KA - 登录成功（第 1 次）
2026-06-18 11:05:09,995 | INFO | financial_data | --------------正在爬取店铺112-Temu全托管----的数据
2026-06-18 11:05:09,996 | INFO | financial_data | 112-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:05:13,142 | INFO | financial_data | 112-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'deogjmiglmamcbonclpnbppbclfgkgpg', 'browserID': 99848624, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '56186', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托112店', 'duplicate': 2802, 'ip': '36.111.32.150', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99848624, 'containerCode': '1006486242', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:05:13,142 | INFO | financial_data | 112-Temu全托管 - 浏览器启动成功, 调试端口: 56186
2026-06-18 11:05:14,520 | INFO | financial_data | 112-Temu全托管 - 已连接浏览器
2026-06-18 11:05:15,063 | INFO | financial_data | --------------------112-Temu全托管 ------------------------ 开始登录...
2026-06-18 11:05:20,109 | INFO | financial_data | 112-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 11:05:24,881 | INFO | financial_data | 命中授权方式一：确认授权并前往
2026-06-18 11:05:24,936 | INFO | financial_data | 授权流程完成
2026-06-18 11:05:30,959 | INFO | financial_data | 112-Temu全托管 - 进入财务页面
2026-06-18 11:05:38,850 | INFO | financial_data | 有数据，总共 400 条
2026-06-18 11:05:40,910 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:05:41,754 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:05:41,754 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:05:41,754 | INFO | financial_data | 112-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:05:41,755 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\temu\112-Temu全托管_01_卖家中心.xlsx
2026-06-18 11:05:42,762 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\112-Temu全托管_01_全球.xlsx
2026-06-18 11:05:42,762 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\112-Temu全托管_01_欧区.xlsx
2026-06-18 11:05:42,762 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\112-Temu全托管_01_美国.xlsx
2026-06-18 11:05:42,762 | INFO | financial_data | ✅ 112-Temu全托管 - 所有财务数据下载完成
2026-06-18 11:05:42,763 | INFO | financial_data | 全部报表下载完成
2026-06-18 11:05:42,763 | INFO | financial_data | 112-Temu全托管 - 登录成功（第 1 次）
2026-06-18 11:05:43,872 | INFO | financial_data | --------------正在爬取店铺1108-Temu全托管----的数据
2026-06-18 11:05:43,872 | INFO | financial_data | 1108-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:05:48,308 | INFO | financial_data | 1108-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'oielegjolaoigkjpcikbcbepjdojkkja', 'browserID': 122453019, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\hubstudio', 'debuggingPort': '56414', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1108号店', 'duplicate': 3976, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_133_202505210948\\webdriver.exe', 'containerId': 122453019, 'containerCode': '1232530196', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:05:48,309 | INFO | financial_data | 1108-Temu全托管 - 浏览器启动成功, 调试端口: 56414
2026-06-18 11:05:49,782 | INFO | financial_data | 1108-Temu全托管 - 已连接浏览器
2026-06-18 11:05:50,365 | INFO | financial_data | --------------------1108-Temu全托管 ------------------------ 开始登录...
2026-06-18 11:05:55,470 | INFO | financial_data | 1108-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 11:06:01,032 | INFO | financial_data | 1108-Temu全托管 - 进入财务页面
2026-06-18 11:06:11,254 | INFO | financial_data | 有数据，总共 349 条
2026-06-18 11:06:13,312 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:06:14,149 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:06:14,149 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:06:14,149 | INFO | financial_data | 1108-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:06:14,149 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\temu\1108-Temu全托管_01_卖家中心.xlsx
2026-06-18 11:06:15,157 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\1108-Temu全托管_01_全球.xlsx
2026-06-18 11:06:15,158 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\1108-Temu全托管_01_欧区.xlsx
2026-06-18 11:06:15,158 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\1108-Temu全托管_01_美国.xlsx
