2026-01-21 12:09:39,826 | ERROR | temu_site | [107-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-21 12:10:03,229 | INFO | temu_site | 店铺---107-Temu全托管---没有违规数据
2026-01-21 12:10:03,230 | INFO | temu_site | 店铺---107-Temu全托管---没有违规数据，跳过
2026-01-21 12:10:03,231 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---skc_sku_violate数据
2026-01-21 12:10:05,101 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---sku_site_status数据
2026-01-21 12:10:09,726 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---sku_site_exception数据
2026-01-21 12:10:11,035 | ERROR | temu_site | 处理店铺 106-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-21 12:10:11,035 | INFO | temu_site | 正在爬取店铺---105-Temu全托管---skc_sku_violate数据
2026-01-21 12:10:12,196 | ERROR | temu_site | [105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-21 12:10:45,807 | INFO | temu_site | 店铺---105-Temu全托管---没有违规数据
2026-01-21 12:10:45,808 | INFO | temu_site | 店铺---105-Temu全托管---没有违规数据，跳过
2026-01-21 12:10:45,809 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---skc_sku_violate数据
2026-01-21 12:10:46,906 | ERROR | temu_site | [104-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-21 12:11:11,861 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---sku_site_status数据
2026-01-21 12:11:15,317 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---sku_site_exception数据
2026-01-21 12:11:16,593 | ERROR | temu_site | 处理店铺 104-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-21 12:11:16,593 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---skc_sku_violate数据
2026-01-21 12:11:17,682 | ERROR | temu_site | [103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-21 12:11:41,900 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---sku_site_status数据
2026-01-21 12:11:55,783 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---sku_site_exception数据
2026-01-21 12:11:57,160 | ERROR | temu_site | 处理店铺 103-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-21 12:11:57,161 | INFO | temu_site | 正在爬取店铺---102-Temu全托管---skc_sku_violate数据
2026-01-21 12:11:58,258 | ERROR | temu_site | [102-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-21 12:12:37,892 | INFO | temu_site | 正在爬取店铺---102-Temu全托管---sku_site_status数据
2026-01-21 12:12:39,361 | INFO | temu_site | 正在爬取店铺---102-Temu全托管---sku_site_exception数据
