2026-04-17 14:05:37,313 | INFO | temu_parcel_tracer | 第 1 页获取到 6 条数据
2026-04-17 14:05:37,314 | INFO | temu_parcel_tracer | 已获取最后一页，停止获取
2026-04-17 14:05:37,314 | INFO | temu_parcel_tracer | ----------------开始上传(temu-发货揽收轨迹及丢件)的数据---------------------
2026-04-17 14:05:37,314 | INFO | temu_parcel_tracer | 准备上传 1 条记录...
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 总记录数: 1
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 成功数量: 1
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 成功批次: 1
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | 2103-Temu全托管 发货揽收轨迹数据爬取完成，共1条记录
2026-04-17 14:05:39,797 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2103-Temu全托管--入库的数据---------------------
2026-04-17 14:05:39,924 | INFO | temu_parcel_tracer | 正在获取第 1 页数据...
2026-04-17 14:05:42,222 | ERROR | temu_parcel_tracer | [2103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-04-17 14:05:42,222 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:05:45,228 | INFO | temu_parcel_tracer | 2103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cdgoddilnfionjljedagnobpdkhcnpii', 'browserID': 99890331, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '57110', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2103店（113店改）+2108店+半托6号店+半托8号店', 'duplicate': 2602, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99890331, 'containerCode': '1006903311', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:05:45,228 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 浏览器启动成功, 调试端口: 57110
2026-04-17 14:05:46,590 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已连接浏览器
2026-04-17 14:05:47,004 | INFO | temu_parcel_tracer | --------------------2103-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:05:53,195 | ERROR | temu_parcel_tracer | 2103-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:05:53,227 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已点击进入
2026-04-17 14:05:53,227 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 登录成功
2026-04-17 14:05:53,227 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:06:01,372 | INFO | temu_parcel_tracer | 2103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2103-Temu全托管_cookies.json
2026-04-17 14:06:01,372 | INFO | temu_parcel_tracer | 2103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:06:01,372 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:06:01,386 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:06:02,595 | INFO | temu_parcel_tracer | 2103-Temu全托管 - 已发送停止浏览器请求
2026-04-17 14:06:12,248 | INFO | temu_parcel_tracer | ✓ 第 1 页获取到异常数据 0 条数据
2026-04-17 14:06:12,250 | INFO | temu_parcel_tracer | 当前页数据并且数据为当月产生的数据不足100条，可能是最后一页，停止获取
2026-04-17 14:06:12,250 | INFO | temu_parcel_tracer | ----------------开始上传(temu-入库情况)的数据---------------------
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 准备上传 0 条记录...
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 总记录数: 0
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 成功数量: 0
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 成功批次: 0
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:06:12,251 | INFO | temu_parcel_tracer | 2103-Temu全托管 入库情况数据爬取完成，共0条记录
2026-04-17 14:06:14,261 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2102-Temu全托管--仓库待收货的数据---------------------
2026-04-17 14:06:14,387 | INFO | temu_parcel_tracer | 正在获取第1页数据...
2026-04-17 14:06:14,387 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:06:17,823 | INFO | temu_parcel_tracer | 2102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'eeakakjccihhgkahpdohdfhkoheehanb', 'browserID': 102858197, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '57455', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2102店（152店改）', 'duplicate': 3055, 'ip': '49.7.135.46', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 102858197, 'containerCode': '1036581979', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:06:17,823 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 浏览器启动成功, 调试端口: 57455
2026-04-17 14:06:19,201 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已连接浏览器
2026-04-17 14:06:20,511 | INFO | temu_parcel_tracer | --------------------2102-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:06:27,223 | ERROR | temu_parcel_tracer | 2102-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:06:27,254 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已点击进入
2026-04-17 14:06:27,254 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 登录成功
2026-04-17 14:06:27,254 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:06:38,610 | INFO | temu_parcel_tracer | 命中授权方式一：确认授权并前往
2026-04-17 14:06:38,697 | INFO | temu_parcel_tracer | 授权流程完成
2026-04-17 14:06:44,731 | INFO | temu_parcel_tracer | 2102-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2102-Temu全托管_kuajingmaihuo_cookies.json
2026-04-17 14:06:44,731 | INFO | temu_parcel_tracer | 2102-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:06:44,731 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:06:44,746 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:06:45,960 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已发送停止浏览器请求
2026-04-17 14:06:50,509 | INFO | temu_parcel_tracer | 第 1 页获取到 5 条数据
2026-04-17 14:06:50,509 | INFO | temu_parcel_tracer | 已获取最后一页，停止获取
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | ----------------开始上传(temu-发货揽收轨迹及丢件)的数据---------------------
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 准备上传 0 条记录...
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 总记录数: 0
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 成功数量: 0
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 成功批次: 0
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | 2102-Temu全托管 发货揽收轨迹数据爬取完成，共0条记录
2026-04-17 14:06:50,510 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2102-Temu全托管--入库的数据---------------------
2026-04-17 14:06:50,636 | INFO | temu_parcel_tracer | 正在获取第 1 页数据...
2026-04-17 14:06:53,473 | ERROR | temu_parcel_tracer | [2102-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-04-17 14:06:53,473 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:06:56,526 | INFO | temu_parcel_tracer | 2102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'eeakakjccihhgkahpdohdfhkoheehanb', 'browserID': 102858197, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '58095', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2102店（152店改）', 'duplicate': 2590, 'ip': '49.7.135.46', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 102858197, 'containerCode': '1036581979', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:06:56,527 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 浏览器启动成功, 调试端口: 58095
2026-04-17 14:06:57,905 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已连接浏览器
2026-04-17 14:06:58,410 | INFO | temu_parcel_tracer | --------------------2102-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:07:04,257 | ERROR | temu_parcel_tracer | 2102-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:07:04,295 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已点击进入
2026-04-17 14:07:04,296 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 登录成功
2026-04-17 14:07:04,296 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:07:12,389 | INFO | temu_parcel_tracer | 2102-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2102-Temu全托管_cookies.json
2026-04-17 14:07:12,389 | INFO | temu_parcel_tracer | 2102-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:07:12,389 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:07:12,408 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:07:13,641 | INFO | temu_parcel_tracer | 2102-Temu全托管 - 已发送停止浏览器请求
2026-04-17 14:07:20,844 | INFO | temu_parcel_tracer | ✓ 第 1 页获取到异常数据 0 条数据
2026-04-17 14:07:20,844 | INFO | temu_parcel_tracer | 当前页数据并且数据为当月产生的数据不足100条，可能是最后一页，停止获取
2026-04-17 14:07:20,844 | INFO | temu_parcel_tracer | ----------------开始上传(temu-入库情况)的数据---------------------
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 准备上传 0 条记录...
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 总记录数: 0
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 成功数量: 0
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:07:20,845 | INFO | temu_parcel_tracer | 成功批次: 0
